Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen insgesamt;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;FREIE WÄHLER Erststimmen;FREIE WÄHLER Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;FBI/FWG Erststimmen;FBI/FWG Zweitstimmen;ÖDP Erststimmen;ÖDP Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;TIERSCHUTZliste Erststimmen;TIERSCHUTZliste Zweitstimmen;AD-Demokraten NRW Erststimmen;AD-Demokraten NRW Zweitstimmen;AfD Erststimmen;AfD Zweitstimmen;AUFBRUCH C Erststimmen;AUFBRUCH C Zweitstimmen;BGE Erststimmen;BGE Zweitstimmen;DBD Erststimmen;DBD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;DIE RECHTE Erststimmen;DIE RECHTE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;JED Erststimmen;JED Zweitstimmen;MLPD Erststimmen;MLPD Zweitstimmen;PAN Erststimmen;PAN Zweitstimmen;Gesundheitsforschung Erststimmen;Gesundheitsforschung Zweitstimmen;PARTEILOSE WG „BRD“ Erststimmen;PARTEILOSE WG „BRD“ Zweitstimmen;Schöner Leben Erststimmen;Schöner Leben Zweitstimmen;V-Partei³ Erststimmen;V-Partei³ Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;LD Erststimmen;LD Zweitstimmen;LKR Erststimmen;LKR Zweitstimmen;Einzelbewerber/-in 1 Erststimmen;Einzelbewerber/-in 1 Zweitstimmen;Einzelbewerber/-in 2 Erststimmen;Einzelbewerber/-in 2 Zweitstimmen;Einzelbewerber/-innen Erststimmen;Einzelbewerber/-innen Zweitstimmen;Sonstige Erststimmen;Sonstige Zweitstimmen
022;Rheinisch-Bergischer Kreis II;111561;79956;666;593;79290;79363;22458;19863;37279;29412;4207;5020;6728;13624;;555;2569;2903;;193;;410;1396;643;;40;;44;;107;;64;;563;;55;4653;5207;;72;;64;;49;;14;;18;;10;;42;;78;;64;;26;;12;;50;;9;;51;;101;;;;;;;;;;;;;;;
023;Oberbergischer Kreis I;93017;61122;819;769;60303;60353;18105;16392;28851;23943;2980;3220;3904;7807;883;523;2226;2367;;158;;322;;204;;53;;20;;90;;72;;419;;88;3354;4112;;141;;51;;29;;7;;24;;16;;32;;48;;33;;25;;13;;38;;14;;31;;61;;;;;;;;;;;;;;;
024;Oberbergischer Kreis II;98368;62163;916;784;61247;61379;18749;17248;27245;23092;3034;3149;4753;7704;730;496;2499;2494;;220;;258;;198;;36;;23;;85;;87;;470;;147;4237;5041;;206;;56;;32;;11;;11;;20;;32;;50;;47;;15;;9;;30;;10;;29;;73;;;;;;;;;;;;;;;
025;Rhein-Sieg-Kreis I;124349;85852;1075;1094;84777;84758;24025;22116;37177;31106;6040;5999;7204;12255;1167;734;3401;3588;;293;;497;;304;;41;;21;;148;490;322;;701;;75;5273;5836;;106;;70;;55;;8;;34;;22;;44;;80;;53;;28;;12;;46;;11;;35;;118;;;;;;;;;;;;;;;
026;Rhein-Sieg-Kreis II;92135;64880;1303;720;63577;64160;18333;15965;27811;23428;4378;4651;7861;10626;1213;511;3169;2866;;172;;365;;260;;60;;21;;88;812;125;;433;;46;;4089;;59;;45;;30;;9;;17;;12;;17;;50;;33;;40;;8;;33;;14;;25;;62;;;;;;;;;;;;;;;
027;Rhein-Sieg-Kreis III;122961;87526;999;967;86527;86559;22715;20302;38749;33871;5284;5504;9534;14520;830;660;2784;3156;;177;845;534;;346;;116;;33;;130;322;155;;544;;53;5464;5895;;68;;76;;38;;13;;15;;12;;27;;66;;52;;23;;9;;49;;5;;26;;84;;;;;;;;;;;;;;;
028;Rhein-Sieg-Kreis IV;112298;75159;883;909;74276;74250;23234;20624;31735;26132;3817;4398;5846;10465;1043;743;3348;3371;;231;;494;;288;;201;;24;;107;476;263;;561;;105;4686;5580;;60;;45;;47;;15;;34;;19;;47;;69;;61;;58;;8;;72;;11;;31;;86;;;;;91;;;;;;;;;;
029;Bonn I;115720;77324;1388;639;75936;76685;26217;20257;27286;22199;7246;9287;7407;11209;922;738;5043;5787;;96;1815;911;;280;;371;;21;;154;;55;;313;;38;;4319;;48;;83;;40;;30;;18;;8;;20;;68;;46;;64;;6;;36;;8;;33;;142;;;;;;;;;;;;;;;
030;Bonn II;110288;77200;983;577;76217;76623;20536;18654;29834;25283;6598;7524;10873;13403;903;599;3641;4315;;73;;592;640;332;;456;;20;;153;;37;;316;;80;3192;4154;;103;;70;;24;;21;;22;;12;;11;;67;;49;;50;;9;;23;;8;;46;;117;;;;;;;;;;;;;;;
031;Wuppertal I;86284;50193;941;711;49252;49482;19082;16360;15178;13521;2686;3112;4472;6058;950;623;2668;2879;;257;;234;;222;;91;;15;;63;;58;;399;;107;4216;4871;;44;;46;;29;;12;;12;;43;;104;;51;;41;;72;;7;;49;;14;;37;;51;;;;;;;;;;;;;;;
032;Wuppertal II;90878;57829;911;655;56918;57174;19456;18115;16002;14758;8588;5064;4248;7272;948;744;4112;4606;;178;;499;;200;;104;;4;;107;;50;;394;;122;3564;4296;;33;;57;;26;;32;;19;;16;;49;;79;;46;;125;;10;;37;;13;;41;;78;;;;;;;;;;;;;;;
033;Wuppertal III – Solingen II;89992;58005;1035;679;56970;57326;20521;18079;18837;16370;4392;4340;5384;7638;;582;3678;3546;;165;;390;;184;;148;;9;;81;;54;;415;;79;4158;4664;;36;;44;;33;;11;;20;;29;;66;;48;;39;;60;;9;;58;;9;;39;;81;;;;;;;;;;;;;;;
034;Solingen I;86919;54116;1003;635;53113;53481;16781;15818;19865;16562;3575;3336;4991;7484;1044;650;3302;3062;;177;;325;;201;;335;;12;;85;;52;;411;;68;3555;4332;;27;;34;;52;;14;;12;;12;;59;;53;;52;;73;;11;;41;;8;;39;;84;;;;;;;;;;;;;;;
035;Remscheid – Oberbergischer Kreis III;93925;58118;857;787;57261;57331;20668;17508;22060;18658;2475;2996;4619;7428;;632;2823;2840;;251;;346;;215;;246;;29;;95;;67;;427;;300;4201;4743;;38;;29;;30;;14;;29;;27;;63;;75;;60;;34;;6;;49;;11;;35;;50;;;;;;;415;;;;;;;;
036;Mettmann I;103317;70162;1115;571;69047;69591;21560;19119;29622;24557;4065;3889;7612;10597;2062;743;;2815;;214;;373;;330;;160;;21;;114;;96;;558;;192;4126;5162;;46;;40;;49;;14;;14;;30;;81;;47;;50;;38;;14;;63;;19;;51;;95;;;;;;;;;;;;;;;
037;Mettmann II;91419;63114;890;629;62224;62485;19662;17522;24291;20953;4397;3963;6668;10142;904;529;2547;2549;;184;;291;;191;;68;;11;;88;;48;;441;;62;3755;4844;;53;;43;;37;;10;;22;;20;;70;;54;;58;;39;;9;;43;;12;;43;;86;;;;;;;;;;;;;;;
038;Mettmann III;87108;60736;677;517;60059;60219;17655;16258;28364;21618;2891;3385;5084;10085;870;550;2130;2353;;163;;267;;220;;95;;11;;49;;45;;429;;75;3065;4141;;18;;19;;36;;7;;16;;20;;85;;54;;44;;34;;7;;33;;14;;15;;73;;;;;;;;;;;;;;;
039;Mettmann IV;86277;57460;894;665;56566;56795;19224;17775;21802;18025;2820;3006;5193;7816;1114;662;2724;2521;;221;;290;;228;;98;;16;;68;;62;;448;;66;3689;4913;;56;;35;;49;;10;;25;;27;;55;;53;;51;;41;;9;;51;;22;;35;;61;;;;;;;;;;;;;;;
040;Düsseldorf I;117998;81546;1314;620;80232;80926;22891;20126;33522;26482;5899;6044;11135;15982;1595;719;4466;4350;;130;;586;;308;;92;;21;;90;;43;;475;;88;;4638;;28;;64;;37;;23;;13;;13;724;136;;75;;56;;105;;10;;39;;5;;45;;103;;;;;;;;;;;;;;;
041;Düsseldorf II;99022;65805;801;590;65004;65215;21091;18263;22987;19391;4779;5465;6501;10547;936;652;3870;4330;;130;886;574;;253;;103;;7;;98;;48;;406;;75;3612;4128;;24;;67;;44;175;56;;16;;21;167;139;;64;;56;;75;;6;;37;;8;;42;;90;;;;;;;;;;;;;;;
042;Düsseldorf III;104133;72544;703;503;71841;72041;21131;18413;26970;21185;6473;7310;8038;13294;1256;668;5217;5109;;100;;772;;230;;85;;18;;97;;37;;383;;66;2662;3592;;15;;46;;32;;20;;20;;5;94;83;;82;;48;;94;;11;;44;;9;;46;;127;;;;;;;;;;;;;;;
043;Düsseldorf IV;91152;59438;845;632;58593;58806;19657;16797;21631;18516;2920;3654;5778;8515;989;556;3205;3248;;192;;378;;291;;110;;17;;72;;43;;391;;95;4137;5143;;37;;28;;33;;20;;18;;23;276;259;;56;;40;;55;;12;;56;;14;;45;;92;;;;;;;;;;;;;;;
044;Rhein-Kreis Neuss I;109289;69223;877;1293;68346;67930;23293;18699;27491;24311;3142;3724;6453;10097;1365;791;2580;2765;;180;;374;;263;;224;;9;;83;;69;;515;;124;3811;4990;;50;;38;;26;;23;211;106;;12;;68;;62;;54;;72;;10;;46;;18;;42;;85;;;;;;;;;;;;;;;
045;Rhein-Kreis Neuss II;105281;69484;964;775;68520;68709;23176;20288;28902;24680;2733;2979;5789;9809;1320;740;2024;2212;;271;;336;;237;;123;;15;;55;;78;;550;;145;3906;5273;;22;;28;;38;;10;670;406;;16;;44;;57;;52;;33;;12;;52;;22;;51;;75;;;;;;;;;;;;;;;
046;Rhein-Kreis Neuss III;119001;86876;1076;766;85800;86110;21127;19989;40393;33412;5656;4866;10929;17149;1258;784;2267;2565;;192;;340;;273;;55;;30;;113;;63;;538;;98;3869;4912;;33;;38;;50;;17;301;173;;6;;54;;66;;49;;32;;12;;51;;14;;37;;99;;;;;;;;;;;;;;;
047;Krefeld I – Viersen III;101586;59052;1586;764;57466;58288;21020;18061;21084;18114;3504;3688;6168;8154;;532;3789;3258;;211;1901;645;;223;;173;;18;;68;;46;;415;;182;;3927;;35;;109;;22;;20;;19;;10;;26;;78;;44;;58;;12;;37;;16;;33;;54;;;;;;;;;;;;;;;
048;Krefeld II;84719;55547;1047;602;54500;54945;19391;16945;21656;18374;2803;3134;6178;8691;939;502;2326;2161;;159;1207;371;;167;;64;;12;;66;;52;;368;;72;;3399;;27;;38;;27;;12;;16;;7;;34;;40;;35;;39;;11;;39;;6;;34;;43;;;;;;;;;;;;;;;
